listing name,room,confirmation,status,check in,check out,total payout
BeachFront* scooter* Kitchen* Laundry Room-108, Laundry Room-108,HM5PBEPQND,Canceled by guest,"Feb 17, 2023","Feb 19, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-220,Room-220,HMWDQFK3MT,Canceled by guest,"Feb 17, 2023","Feb 19, 2023",0.00
Ocean View*Beach Front*Sleep2*Laundry*Room-117,Room-117,HMR8PRKKRK,Canceled by guest,"Feb 17, 2023","Feb 19, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-226,Room-226,HMBNA8XR29,Canceled by guest,"Feb 16, 2023","Feb 21, 2023",75.46
Beach Front*Sleep4*Full Kitchen*Laundry*Room-208,Room-208,HM9XAT2NKE,Canceled by Airbnb,"Feb 16, 2023","Feb 18, 2023",0.00
Ocean View*Beach Front*Sleep4*Laundry*Room-213,Room-213,HMEFAWYEQM,Canceled by guest,"Feb 15, 2023","Feb 20, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-208,Room-208,HMBCNND593,Canceled by guest,"Feb 10, 2023","Feb 12, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-224,Room-224,HMBH95YWZT,Canceled by Airbnb,"Feb 10, 2023","Feb 11, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HMEKQZKN85,Canceled by guest,"Feb 8, 2023","Feb 9, 2023",64.02
Discard-202,Discard-202,HMNAQTQF3X,Canceled by guest,"Feb 6, 2023","Feb 22, 2023",0.00
Ocean View*Beach Front*Sleep4*Laundry*Room-216,Room-216,HMHHRQRTDQ,Canceled by guest,"Jan 28, 2023","Jan 29, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-204,Room-204,HM82HH8R8Z,Canceled by guest,"Jan 28, 2023","Jan 29, 2023",58.20
Ocean View*Beach Front*Sleep4*Laundry*Room-216,Room-216,HM9YM2WJM3,Canceled by guest,"Jan 28, 2023","Jan 29, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-125,Room-125,HMNDFNWWCE,Canceled by Airbnb,"Jan 28, 2023","Jan 29, 2023",0.00
Discard - 122,Discard - 122,HMR4Y8JB5Q,Canceled by Airbnb,"Jan 28, 2023","Jan 29, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-209,Room-209,HMHYBNKWHA,Canceled by guest,"Jan 27, 2023","Jan 28, 2023",46.56
Beach Front*Sleep4*WIFI*Security*Laundry*Room-226,Room-226,HMK39A93SS,Canceled by Airbnb,"Jan 26, 2023","Jan 29, 2023",0.00
