listing name,room,confirmation,status,check in,check out,total payout
Luxury*Balcony w/CityView*NewlyRenovated*DTWN 21M,DTWN 21M,HMTTMSH2YP,Past guest,"Sep 17, 2021","Sep 19, 2021",311.37
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMYYZQ2D8S,Past guest,"Sep 16, 2021","Sep 19, 2021",419.04
Discard: 300 PT 20M,Discard: 300 PT 20M,HMZ3BYJYDA,Past guest,"Sep 17, 2021","Sep 19, 2021",283.24
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HMB2YWAWMY,Past guest,"Sep 17, 2021","Sep 19, 2021",348.23
Discard: 300PT 10I,Discard: 300PT 10I,HMRCP2NEPX,Past guest,"Sep 17, 2021","Sep 19, 2021",427.77
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HM5MYHATQ4,Past guest,"Sep 11, 2021","Sep 15, 2021",547.08
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMYSE4SC54,Past guest,"Sep 11, 2021","Sep 14, 2021",327.86
Sleeps5*Luxury*HighFloor*Balcony *Renovated 15I,Renovated 15I,HM89JMAHYE,Past guest,"Sep 11, 2021","Sep 14, 2021",517.98
Discard: 300 PT 20M,Discard: 300 PT 20M,HM3NJ89BRQ,Past guest,"Sep 11, 2021","Sep 13, 2021",271.60
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HMANA3ZCNT,Past guest,"Sep 8, 2021","Sep 13, 2021",598.49
Discard: 300PT 16I,Discard: 300PT 16I,HM2ZYKMH83,Past guest,"Sep 10, 2021","Sep 12, 2021",440.38
Discard: 300PT 10I,Discard: 300PT 10I,HMM4AHQKQC,Past guest,"Sep 7, 2021","Sep 12, 2021",796.37
Discard: Elsa,Discard: Elsa,HMFBJM2YK4,Past guest,"Sep 9, 2021","Sep 12, 2021",553.72
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HM8N4KYTEQ,Past guest,"Sep 8, 2021","Sep 12, 2021",612.07
Discard: 300 PT 20M,Discard: 300 PT 20M,HMTPFHFHZE,Past guest,"Sep 9, 2021","Sep 11, 2021",262.87
Sleeps5*Luxury*HighFloor*Balcony *Renovated 15I,Renovated 15I,HM5MRKQJY4,Past guest,"Sep 8, 2021","Sep 11, 2021",533.50
Discard: 300PT 16I,Discard: 300PT 16I,HMCF53ME5Q,Past guest,"Sep 8, 2021","Sep 10, 2021",297.79
Luxury*Balcony w/CityView*NewlyRenovated*DTWN 21M,DTWN 21M,HMQQSW5YHS,Past guest,"Sep 2, 2021","Sep 7, 2021","1,022.38"
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HM4KDKAT5M,Past guest,"Sep 1, 2021","Sep 7, 2021","1,402.62"
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMW8EH2FFY,Past guest,"Sep 1, 2021","Sep 7, 2021","1,261.00"
Sleep6*King*Renovated*PrivateBackyard*Downtown*L38,L38,HM4PR8DAJW,Past guest,"Sep 3, 2021","Sep 6, 2021",909.86
Discard: 300PT 2M,Discard: 300PT 2M,HMQQYQHN33,Past guest,"Sep 1, 2021","Sep 6, 2021",781.82
Sleep 5* Luxury* Balcony *NewlyRenovated* 15J, 15J,HME9MNDMEQ,Past guest,"Sep 3, 2021","Sep 6, 2021",775.61
Discard: Anna,Discard: Anna,HM8AQMXP4H,Past guest,"Sep 4, 2021","Sep 6, 2021",483.96
Discard: 300PT 10I,Discard: 300PT 10I,HMZ3ZDZ28D,Past guest,"Sep 1, 2021","Sep 6, 2021","1,151.39"
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HMDFDBWYWD,Past guest,"Sep 2, 2021","Sep 6, 2021","1,101.92"
Discard: Elsa,Discard: Elsa,HMB8ZFXDT8,Past guest,"Sep 3, 2021","Sep 6, 2021",528.65
Discard: 300 PT 20M,Discard: 300 PT 20M,HMXBYRS3AE,Past guest,"Sep 2, 2021","Sep 6, 2021",802.19
Sleeps5*Luxury*HighFloor*Balcony *Renovated 15I,Renovated 15I,HME282Z2EA,Past guest,"Sep 2, 2021","Sep 6, 2021","1,215.41"
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HM3ABPFY5J,Past guest,"Sep 3, 2021","Sep 6, 2021",545.14
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HM8Q5TNPC4,Past guest,"Sep 2, 2021","Sep 6, 2021",484.03
*Luxury *Balconyw/CityView* Renovated* Downtown 8H, Downtown 8H,HM2ZPZKENW,Past guest,"Sep 3, 2021","Sep 5, 2021",517.98
*Luxury *Balconyw/CityView* Renovated* Downtown 8H, Downtown 8H,HMXWCAPDA9,Past guest,"Aug 9, 2021","Sep 3, 2021","2,206.75"
Sleep 5* Luxury* Balcony *NewlyRenovated* 15J, 15J,HMCND2EYR2,Past guest,"Aug 29, 2021","Aug 31, 2021",239.98
Luxury*Balcony w/CityView*NewlyRenovated*DTWN 21M,DTWN 21M,HM8BZBSP43,Past guest,"Aug 27, 2021","Aug 31, 2021",490.82
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMCZMCCDY9,Past guest,"Aug 27, 2021","Aug 31, 2021",397.70
Discard: Elsa,Discard: Elsa,HM2PD8QFCZ,Past guest,"Aug 29, 2021","Aug 31, 2021",284.49
Discard: 300PT 16I,Discard: 300PT 16I,HM5FAACCE8,Past guest,"Aug 27, 2021","Aug 30, 2021",509.25
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HM9X5M2FX2,Past guest,"Aug 26, 2021","Aug 30, 2021",530.59
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMR99APXWT,Past guest,"Aug 27, 2021","Aug 29, 2021",316.22
Discard: 300PT 2M,Discard: 300PT 2M,HMQF5249PW,Past guest,"Aug 27, 2021","Aug 29, 2021",274.51
Sleep 5* Luxury* Balcony *NewlyRenovated* 15J, 15J,HMJCXKPMAD,Past guest,"Aug 27, 2021","Aug 29, 2021",329.22
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HM93J5WDH9,Past guest,"Aug 27, 2021","Aug 29, 2021",272.57
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HM9W8SF2EF,Past guest,"Aug 27, 2021","Aug 29, 2021",344.35
Sleeps5*Luxury*HighFloor*Balcony *Renovated 15I,Renovated 15I,HM4PXJPB22,Past guest,"Aug 27, 2021","Aug 29, 2021",392.85
Discard: 300PT 10I,Discard: 300PT 10I,HMSNNK439T,Past guest,"Aug 27, 2021","Aug 29, 2021",392.85
Discard: Franz,Discard: Franz,HMYKWBFE84,Past guest,"Aug 27, 2021","Aug 29, 2021",343.74
Discard: Elsa,Discard: Elsa,HMJKJWT9FX,Past guest,"Aug 26, 2021","Aug 29, 2021",459.98
Discard: 300 PT 20M,Discard: 300 PT 20M,HMKSNBWPDA,Past guest,"Aug 27, 2021","Aug 29, 2021",306.52
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMCJ3TYS9P,Past guest,"Aug 25, 2021","Aug 27, 2021",233.77
Discard: 300PT 16I,Discard: 300PT 16I,HMF42PXJCP,Past guest,"Aug 22, 2021","Aug 24, 2021",280.33
Sleep 5* Renovated* CityView* Spacious*DTWN* 23J, 23J,HMCQMAHXXT,Past guest,"Aug 19, 2021","Aug 24, 2021",571.33
Discard: Elsa,Discard: Elsa,HMTQQCSAPX,Past guest,"Aug 22, 2021","Aug 24, 2021",359.70
Discard: 300PT 2M,Discard: 300PT 2M,HMKNCEFBHR,Past guest,"Aug 21, 2021","Aug 23, 2021",259.96
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMSA3CRHB2,Past guest,"Aug 19, 2021","Aug 23, 2021",348.23
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HM8DDJTR22,Past guest,"Aug 21, 2021","Aug 23, 2021",287.12
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HMEWTFXQTS,Past guest,"Aug 19, 2021","Aug 23, 2021",624.68
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HMWRET5QWN,Past guest,"Aug 20, 2021","Aug 22, 2021",271.60
Discard: Elsa,Discard: Elsa,HM39TAXTMM,Past guest,"Aug 20, 2021","Aug 22, 2021",322.64
Discard: 300PT 16I,Discard: 300PT 16I,HM429NSFFR,Past guest,"Aug 20, 2021","Aug 22, 2021",386.06
Discard: 300 PT 20M,Discard: 300 PT 20M,HMFYWXT4R3,Past guest,"Aug 19, 2021","Aug 22, 2021",339.50
Discard: 300PT 10I,Discard: 300PT 10I,HMNZKMPMXQ,Past guest,"Aug 20, 2021","Aug 22, 2021",392.46
Discard: 300PT 10I,Discard: 300PT 10I,HM9QRXAC9Z,Past guest,"Aug 17, 2021","Aug 19, 2021",300.70
Discard: 300 PT 20M,Discard: 300 PT 20M,HMAYQNKSNX,Past guest,"Aug 16, 2021","Aug 18, 2021",239.59
Discard: 300PT 2M,Discard: 300PT 2M,HMZN4PMQAZ,Past guest,"Aug 13, 2021","Aug 17, 2021",440.38
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMP3TDDPCD,Past guest,"Aug 11, 2021","Aug 17, 2021",557.75
